STT,Văn bản
11,Nếu chưa có kiến thức về lập trình thì có thể tham gia CLB không ? Đa số mọi người đều xuất phát từ con số 0 nên bạn cũng không cần lo lắng quá. Khi bạn vào CLB các anh chị sẽ tận tình chỉ dạy và nếu bạn cố gắng thì khả năng code của bạn sẽ ngày càng được cải thiện.
12,"Tham gia CLB ngoài học tập còn có hoạt động gì khác không ? Ngoài việc học tập trong CLB các bạn sẽ được tham gia các sự kiện, hoạt động ngoại khóa vô cùng thú vị trong và ngoài CLB. Và sau này các bạn sẽ được học hỏi và góp phần vào việc trực tiếp tổ chức các sự kiện lớn nhỏ của CLB mình. Chi tiết bạn có thể tham khảo thêm tại mục Sự kiện của Website này nhé."
13,"Tại sao lại có 2 CLB CNTT, sự khác biệt giữa 2 CLB là gì ? ProPTIT và IT PTIT đều là 2 CLB học thuật. Tuy có những hướng đi riêng nhưng cùng chung một mục đích hỗ trợ sinh viên trên con đường học tập. Mỗi hướng đi mà CLB chọn đều tạo nên những màu sắc đặc trưng riêng."
14,"Có được tham gia nhiều CLB không ? Tham gia bao nhiêu CLB là hoàn toàn phụ thuộc vào lựa chọn của các bạn, nhưng để đảm bảo cân đối giữa việc học ở trường cũng như tham gia hoạt động tại CLB thì các bạn nên cân nhắc đến khả năng và thời gian mình có hoặc có thể tự trải nghiệm để đưa ra quyết định của mình nhé."
15,"Tiêu chuẩn để đánh giá trong vòng training là gì ạ, em code không được giỏi thì em có vào clb được không ạ ? Trong vòng training, các anh chị sẽ đánh giá em về nhiều mặt khác nhau, bao gồm cả mảng học tập, hoạt động và cách giao tiếp giữa em với các thành viên CLB khác. Việc code chỉ là 1 phần trong số đó, em cố gắng thể hiện hết mình là được nhé, mọi nỗ lực em làm đều sẽ được anh chị ghi nhận và đánh giá. Anh chị đánh giá rất cao sự tiến bộ của các em trong quá trình training."
16,"Quá trình hoạt động của clb trong suốt thời gian học đại học là như nào ạ ? CLB Lập Trình sẽ dạy cho các em rất nhiều những khóa học có liên quan tới những học phần trên trường như là C,C++,OOP,... và cao hơn nữa là các em sẽ được học các team dự án, đây là những kiến thức rất quan trọng, có thể áp dụng trực tiếp vào công việc của các em mai sau. Bên cạnh đó, CLB còn có rất nhiều những sự kiện, hoạt động, như là cuộc thi làm game, làm app, hay những sự kiện vui chơi giải trí như Biggame, camping trip,... và cũng có rất nhiều những contest ngắn dài để em có thể củng cố kiến thức và đánh giá bản thân sau mỗi khóa học nhé."
17,"Anh ơi, anh có thể mô tả rõ cho em về môi trường hoạt động trong CLB như nào không ạ ? Môi trường làm việc của CLB rất năng động, chuyên nghiệp, và liên tục đổi mới nha bạn. Bạn sẽ được gặp mặt và quen biết với nhiều bạn bè mới, được nói chuyện và học tập cùng các bạn và anh chị đều là những người rất tài năng trong trường. Ngoài ra, CLB hoạt động theo hình thức khoá trên dạy khoá dưới, các khoá sau khi ra trường đều sẽ quay lại đóng góp cho CLB."
18,Chị ơi em thích thiết kế nhưng cũng thích cả code thì có thể tham gia clb không ạ ? Mặc dù là CLB về lập trình nhưng ngoài lập trình ra em còn có rất nhiều cơ hội để phát triển những khía cạnh khác của bản thân nhé. Chị thấy nếu em thích và có năng khiếu về thiết kế thì là một lợi ích và là một điều tốt. Sẽ có rất nhiều sự kiện và có các ban để em phát triển khía cạnh này.
19,"Những cựu tv câu lạc bộ đã có ai đạt được những thành tựu hay thành tích gì nổi bật chưa? Giờ họ đang làm gì, ở vị trí nào trong những công ty, tập đoàn lớn ? Anh Bách là thành viên khóa D16, tham gia siêu trí tuệ Anh Sơn có 1 công ty Super Game ở tòa Skyline Em có thể quét mã hoặc vào trang web để hiểu rõ hơn."
20,"CLB tuyển thành viên dựa trên những tiêu chí gì vậy ạ ? CLB lựa chọn thành viên dựa trên nhiều yếu tốt, cả học tập, hoạt động và cách tương tác giữa các thành viên với nhau. Anh chị sẽ đánh giá và cân nhắc trên các khía cạnh này để đưa ra quyết định lựa chọn thành viên phù hợp nhất."
